,time,command,pitch,roll,Yaw,height,Vx,Vy,Vz,battery
75,1662599742.2690134,stand,0,0,1,0,0,0,0,82
76,1662599742.3101997,stand,0,0,1,0,0,0,0,82
77,1662599742.3963377,stand,0,0,1,0,0,0,0,82
78,1662599742.4601102,stand,0,0,1,0,0,0,0,82
79,1662599742.5278366,stand,0,0,1,0,0,0,0,82
80,1662599742.6610463,stand,0,0,1,0,0,0,0,82
81,1662599742.7003016,stand,0,0,1,0,0,0,0,82
82,1662599742.7636707,stand,0,0,1,0,0,0,0,82
83,1662599742.8671603,stand,0,0,1,0,0,0,0,82
84,1662599742.9582725,stand,0,0,1,0,0,0,0,82
85,1662599743.0308428,stand,0,0,1,0,0,0,0,82
86,1662599743.1614816,stand,0,0,1,0,0,0,0,82
87,1662599743.217319,stand,0,0,1,0,0,0,0,82
88,1662599743.3654137,stand,0,0,1,0,0,0,0,82
89,1662599743.5098212,stand,0,0,1,0,0,0,0,82
90,1662599743.5439734,stand,0,0,1,0,0,0,0,82
91,1662599743.6148076,stand,0,0,1,0,0,0,0,82
92,1662599743.8423326,stand,0,0,1,0,0,0,0,82
93,1662599743.9127178,stand,0,0,1,0,0,0,0,82
94,1662599744.006019,stand,0,0,1,0,0,0,0,82
95,1662599744.0606349,stand,0,0,1,0,0,0,0,82
96,1662599744.1388009,stand,0,0,1,0,0,0,0,82
97,1662599744.1955085,stand,0,0,1,0,0,0,0,82
98,1662599744.2836149,stand,0,0,1,0,0,0,0,82
99,1662599744.3435395,stand,0,0,1,0,0,0,0,82
100,1662599744.400652,stand,0,0,1,0,0,0,0,82
101,1662599744.4940186,stand,0,0,1,0,0,0,0,82
102,1662599744.6141,stand,0,0,1,0,0,0,0,82
103,1662599744.6730635,stand,0,0,1,0,0,0,0,82
104,1662599744.95033,stand,0,0,1,0,0,0,0,82
105,1662599745.0959482,stand,0,0,1,0,0,0,0,82
106,1662599745.2293887,stand,0,0,1,0,0,0,0,82
107,1662599745.2866035,stand,0,0,1,0,0,0,0,82
108,1662599745.3939857,stand,0,0,1,0,0,0,0,82
109,1662599745.4940085,stand,0,0,1,0,0,0,0,82
110,1662599745.5593119,stand,0,0,1,0,0,0,0,82
111,1662599745.7268069,stand,0,0,1,0,0,0,0,82
112,1662599745.8097887,stand,0,0,1,0,0,0,0,82
113,1662599745.8986182,stand,0,0,1,0,0,0,0,82
114,1662599745.9507687,stand,0,0,1,0,0,0,0,82
115,1662599746.0235593,stand,0,0,1,0,0,0,0,82
116,1662599746.1226168,stand,0,0,1,0,0,0,0,82
117,1662599746.1869533,stand,0,0,1,0,0,0,0,82
118,1662599746.2726316,stand,0,0,1,0,0,0,0,82
119,1662599746.3916535,stand,0,0,1,0,0,0,0,82
120,1662599746.4484763,stand,0,0,1,0,0,0,0,82
121,1662599746.5597975,stand,0,0,1,0,0,0,0,82
122,1662599746.6181853,stand,0,0,1,0,0,0,0,82
123,1662599746.7429774,stand,0,0,1,0,0,0,0,82
124,1662599746.8426178,stand,0,0,1,0,0,0,0,82
125,1662599746.9735663,stand,0,0,1,0,0,0,0,82
126,1662599747.0245056,stand,0,0,1,0,0,0,0,82
127,1662599747.142443,stand,0,0,1,0,0,0,0,82
128,1662599747.1996152,stand,0,0,1,0,0,0,0,82
129,1662599747.4110847,stand,0,0,1,0,0,0,0,82
130,1662599747.6401198,stand,0,0,1,0,0,0,0,82
131,1662599747.7404866,stand,0,0,1,0,0,0,0,82
132,1662599747.8021827,stand,0,0,1,0,0,0,0,82
133,1662599747.8427055,stand,0,0,1,0,0,0,0,82
134,1662599756.7640858,takeoff,0,0,0,-60,0,0,0,82
135,1662599756.9215586,stand,1,0,0,-60,0,0,0,82
136,1662599756.9855523,stand,1,0,0,-60,0,0,0,82
137,1662599757.0626986,stand,1,0,0,-60,0,0,0,82
138,1662599757.1780748,stand,1,0,0,-60,0,0,0,82
139,1662599757.271065,stand,1,0,0,-70,0,0,0,82
140,1662599757.3970602,stand,1,0,0,-70,0,0,0,82
141,1662599757.4468088,stand,0,0,0,-70,0,0,0,82
142,1662599757.5106244,stand,0,0,0,-70,0,0,0,82
143,1662599757.5745234,stand,0,0,0,-70,0,0,0,82
144,1662599757.6528788,stand,0,0,0,-70,0,0,0,82
145,1662599757.7323387,stand,0,0,0,-70,0,0,0,82
146,1662599757.7994049,stand,0,0,0,-70,0,0,0,82
147,1662599757.8796268,stand,0,0,0,-70,0,0,0,82
148,1662599757.9346442,stand,0,0,0,-70,0,0,0,82
149,1662599758.0240903,stand,0,0,0,-70,0,0,0,82
150,1662599758.1158633,stand,1,0,0,-70,0,0,0,82
151,1662599758.1801329,stand,1,0,0,-60,0,0,0,82
152,1662599758.3659904,stand,1,0,0,-60,0,0,0,82
153,1662599758.5113418,stand,1,0,0,-60,0,0,0,82
154,1662599758.5534732,stand,1,0,0,-60,0,0,0,82
155,1662599758.636116,stand,1,0,0,-60,0,0,0,82
156,1662599758.7021906,stand,1,0,0,-60,0,0,0,82
157,1662599758.7742517,stand,0,0,0,-60,0,0,0,82
158,1662599758.8345485,stand,0,0,0,-60,0,0,0,82
159,1662599758.9301178,stand,0,0,0,-60,0,0,0,82
160,1662599758.9612684,stand,0,0,0,-60,0,0,0,82
161,1662599759.0441105,stand,0,0,0,-60,0,0,0,82
162,1662599759.1794512,stand,1,0,0,-60,0,0,0,82
163,1662599759.2330778,stand,1,0,0,-60,0,0,0,82
164,1662599759.2942512,stand,1,0,0,-60,0,0,0,82
165,1662599759.3966222,stand,1,0,0,-60,0,0,0,82
166,1662599759.4676762,stand,1,0,0,-60,0,0,0,82
167,1662599759.5977874,stand,1,0,0,-60,0,0,0,82
168,1662599759.7332888,stand,1,0,0,-60,0,0,0,82
169,1662599759.8482633,stand,1,0,0,-70,0,0,0,82
170,1662599759.8817682,stand,1,0,0,-70,0,0,0,82
171,1662599759.9461908,stand,1,0,0,-70,0,0,0,82
172,1662599760.0214276,stand,1,0,0,-70,0,0,0,82
